"region","kön","ålder","inkomstklass","2014","2015","2016","2017","2018","2019","2020","2021"
"1435 Tanum","totalt","totalt 16+ år","totalt",226.9,242.4,252.5,257.5,261.1,269.5,275.0,282.9
"1438 Dals-Ed","totalt","totalt 16+ år","totalt",208.4,223.2,230.1,239.1,242.5,249.4,255.7,262.1
"1439 Färgelanda","totalt","totalt 16+ år","totalt",215.8,225.8,233.3,243.3,248.6,253.8,259.1,265.2
"1440 Ale","totalt","totalt 16+ år","totalt",262.4,274.0,285.5,296.1,304.8,313.5,316.7,326.2
"1441 Lerum","totalt","totalt 16+ år","totalt",283.6,295.0,307.1,316.1,324.8,333.3,339.2,351.6
"1442 Vårgårda","totalt","totalt 16+ år","totalt",238.2,249.2,257.0,268.0,276.1,281.6,291.5,303.3
"1443 Bollebygd","totalt","totalt 16+ år","totalt",264.7,273.2,283.5,294.6,306.3,310.7,315.3,326.1
"1444 Grästorp","totalt","totalt 16+ år","totalt",230.7,240.7,253.5,256.2,268.0,274.0,280.0,287.5
"1445 Essunga","totalt","totalt 16+ år","totalt",224.3,230.6,240.3,245.5,252.4,258.3,266.0,277.4
"1446 Karlsborg","totalt","totalt 16+ år","totalt",235.1,239.4,247.4,255.9,263.2,270.2,278.0,288.2
"1447 Gullspång","totalt","totalt 16+ år","totalt",207.8,215.8,223.5,227.5,233.0,238.0,243.1,248.3
"1452 Tranemo","totalt","totalt 16+ år","totalt",243.2,250.3,258.7,267.9,277.0,281.5,290.4,299.9
"1460 Bengtsfors","totalt","totalt 16+ år","totalt",211.4,223.4,231.4,235.9,242.1,246.3,247.0,255.8
"1461 Mellerud","totalt","totalt 16+ år","totalt",202.3,215.1,223.3,227.2,236.2,243.0,251.3,255.1
"1462 Lilla Edet","totalt","totalt 16+ år","totalt",238.5,246.7,258.0,270.4,277.2,284.9,290.2,301.1
"1463 Mark","totalt","totalt 16+ år","totalt",235.8,245.0,254.4,263.3,269.4,276.0,282.0,291.9
"1465 Svenljunga","totalt","totalt 16+ år","totalt",227.4,231.9,242.5,247.2,256.2,262.0,269.6,279.1
"1466 Herrljunga","totalt","totalt 16+ år","totalt",227.9,239.7,248.2,257.3,261.9,270.1,277.5,286.0
"1470 Vara","totalt","totalt 16+ år","totalt",224.3,232.7,243.9,251.8,259.0,266.1,271.7,280.3
